user_key,user_id,lifetime_reviews,categories_reviewed,avg_rating_given,total_helpful_votes,verified_share,first_review_date,last_review_date,reviewer_segment
26,AE22372J7JGUBWMHLNNR4MTMLILA,2,1,5.0,0.0,1.0,2021-06-11,2022-02-02,One-off
27,AE223DIEYD5X6B3EODUOYEK4KLYQ,1,1,4.0,0.0,1.0,2016-01-29,2016-01-29,One-off
28,AE223EVQI22TZJEZG3F2PG5Y57FQ,1,1,4.0,5.0,1.0,2017-03-03,2017-03-03,One-off
29,AE223FFXZTZKC5B7QSE6KMHTUYNQ,1,1,5.0,0.0,1.0,2016-06-30,2016-06-30,One-off
30,AE223FOBUQAUOSGVCDRABQGKGVSQ,1,1,5.0,1.0,1.0,2014-03-30,2014-03-30,One-off
31,AE223GCF23ATF3EMZVTCPHK5U4YA,1,1,5.0,0.0,1.0,2020-02-06,2020-02-06,One-off
32,AE223GG5KV3JDVKWCPQWHK6A3D6Q,1,1,5.0,0.0,1.0,2017-02-16,2017-02-16,One-off
33,AE223HOY2EL3WT7TJ4O5GIUAGLQA,1,1,5.0,0.0,1.0,2019-01-09,2019-01-09,One-off
34,AE223I33QUEWGRDCGS75YPCZE7JQ,2,1,5.0,0.0,1.0,2017-07-11,2018-07-29,One-off
35,AE223KPXVGRR737JOJXDH6QQBJDQ,1,1,5.0,0.0,1.0,2023-02-12,2023-02-12,One-off
36,AE223M36P2S3ZNONSDHDPPG6BKFQ,1,1,4.0,0.0,1.0,2022-02-26,2022-02-26,One-off
37,AE223N4K4ROAGJPN55UM3IYGGCOQ,1,1,5.0,3.0,1.0,2022-10-24,2022-10-24,One-off
38,AE223NOT6JEDOPGCQLWEMXSXGVWQ,1,1,5.0,0.0,1.0,2015-02-24,2015-02-24,One-off
39,AE223OML4VAG76SI7ZMWHQLA6ZLA,1,1,3.0,0.0,1.0,2017-06-02,2017-06-02,One-off
40,AE223QFU63B3X4P437QAGGX5V3CQ,1,1,5.0,1.0,1.0,2016-04-21,2016-04-21,One-off
41,AE223QPWE2RVXRHYJ5NG54FSJIAA,1,1,5.0,0.0,1.0,2020-10-14,2020-10-14,One-off
42,AE223RTPWMG62AWDZGIP25SOQNOA,1,1,4.0,0.0,1.0,2019-10-14,2019-10-14,One-off
43,AE223TLCV274EETT6YJJOJ4IMCZA,2,2,3.0,2.0,1.0,2018-04-28,2019-06-16,One-off
44,AE223UCAOICTWHLEXH5FXEBT4CYA,1,1,3.0,0.0,1.0,2018-08-11,2018-08-11,One-off
45,AE223UUOHC3V2XF4JOTTDDSBODSQ,1,1,1.0,0.0,1.0,2018-06-01,2018-06-01,One-off
46,AE223VVHJCSFYXSCGNVOMWGRTOKA,1,1,3.0,2.0,1.0,2021-11-07,2021-11-07,One-off
47,AE223WWYN72ZRICUSC44XXX76QJA,1,1,3.0,0.0,1.0,2019-02-07,2019-02-07,One-off
48,AE223YNB742YCE2HSRKGR4INFPQQ,1,1,5.0,0.0,1.0,2014-07-21,2014-07-21,One-off
49,AE223YXXEUD6VW2JKXCJLLIEOC2Q,1,1,1.0,0.0,1.0,2017-08-16,2017-08-16,One-off
50,AE223ZGPEUTUFG772LM6UEQYYJTQ,1,1,5.0,0.0,1.0,2019-09-29,2019-09-29,One-off
